Location of Private Lateral,Zipcode,"Date of WW
Release",lat,long
"4738 Kinglet St, Houston, Texas, 77035",77035,2021-04-01,29.6604172,-95.4585535
"12426 Frazier River Dr, Houston, Texas, 77050",77050,2021-04-01,29.9036164,-95.2949573
"275 Georgia St, Houston, Texas, 77029",77029,2021-04-01,29.7422426,-95.2579356
"9406 Bertwood St, Houston, Texas, 77016",77016,2021-04-01,29.8474109,-95.3097399
"110 Zachary St, Houston, Texas, 77029",77029,2021-04-01,29.7387068,-95.262914
"10943 Bradford Way Dr, Houston, Texas, 77075",77075,2021-04-01,29.6064146,-95.2539836
"8355 Whitecastle Ln, Houston, Texas, 77088",77088,2021-04-01,29.8820518,-95.417917
"8807 Bissonnet St, Houston, Texas, 77074",77074,2021-04-01,29.6758641,-95.531362
"1003 Kelley St, Houston, Texas, 77009",77009,2021-04-01,29.8134867,-95.3584435
"8714 Sandra St, Houston, Texas, 77016",77016,2021-04-01,29.840051,-95.313834
"7916 Dandy St, Houston, Texas, 77016",77016,2021-04-01,29.8331637,-95.3109243
"3620 Southmore Blvd, Houston, Texas, 77004",77004,2021-04-01,29.7129223,-95.3584566
"3503 Gulf Fwy, Houston, Texas, 77003",77003,2021-04-01,29.736589,-95.3474488999999
"1954 Restridge Dr, Houston, Texas, 77055",77055,2021-04-02,29.8075844,-95.4936963
"7417 Saint Louis St, Houston, Texas, 77028",77028,2021-04-02,29.8190425,-95.2948552
"4310 Holloway Dr, Houston, Texas, 77047",77047,2021-04-02,29.6444123,-95.3589993
"4711 Englewood St, Houston, Texas, 77026",77026,2021-04-02,29.8035154,-95.3082288
"7418 Longview St, Houston, Texas, 77020",77020,2021-04-02,29.7847355,-95.2940998
"3918 Cosby St, Houston, Texas, 77021",77021,2021-04-03,29.6968582,-95.3593427
"5114 Bataan Rd, Houston, Texas, 77033",77033,2021-04-03,29.6830843999999,-95.3427602
"6427 Sandy Oaks Dr, Houston, Texas, 77050",77050,2021-04-03,29.9050601,-95.293148
"10217 Homestead Rd, Houston, Texas, 77016",77016,2021-04-03,29.8600715,-95.3008504
"9519 Carmalee St, Houston, Texas, 77075",77075,2021-04-04,29.6065974,-95.2448477
"10607 Rebel Rd, Houston, Texas, 77016",77016,2021-04-04,29.8673736,-95.2918541999999
"4134 Erie St, Houston, Texas, 77087",77087,2021-04-04,29.6805224,-95.279053
"7726 Avenue B, Houston, Texas, 77012",77012,2021-04-04,29.731702,-95.2867610999999
"5906 Beldart St, Houston, Texas, 77033",77033,2021-04-05,29.661652,-95.3281615
"9211 N Green River Dr, Houston, Texas, 77078",77078,2021-04-03,29.8358838,-95.2531454
"15111 Wellman Ln, Houston, Texas, 77060",77060,2021-04-05,29.9185525,-95.4045699
"3010 Tilden St, Houston, Texas, 77025",77025,2021-04-05,29.6956434,-95.4237230999999
"3106 Collingsworth St, Houston, Texas, 77026",77026,2021-04-05,29.7936712,-95.3377639
"6648 Avenue C, Houston, Texas, 77011",77011,2021-04-05,29.7387681,-95.3079886
"9001 Madera Rd, Houston, Texas, 77078",77078,2021-04-05,29.858122,-95.258314
"11631 Riderwood Dr, Houston, Texas, 77099",77099,2021-04-05,29.6806615,-95.5837387999999
"7006 Thornwild Rd, Missouri City, Texas, 77489",77489,2021-04-06,29.6015595,-95.4914471
"7833 Pacific Pearl St, Houston, Texas, 77072",77072,2021-04-06,29.6923708,-95.5980151
"4913 Carmen St, Houston, Texas, 77033",77033,2021-04-06,29.6573772,-95.350228
"1248 Witte Rd, Houston, Texas, 77055",77055,2021-04-06,29.7915922,-95.5398154999999
"10101 Genard Rd, Houston, Texas, 77041",77041,2021-04-06,29.8441478,-95.5427175999999
"217 Broadhurst Dr, Houston, Texas, 77047",77047,2021-04-06,29.6044849,-95.4167619999999
"311 La Fonda Dr, Houston, Texas, 77060",77060,2021-04-06,29.926206,-95.3959868
"11611 Crystalwood Dr, Houston, Texas, 77013",77013,2021-04-06,29.7820043,-95.2301578
"5826 Shirley Ln, Humble, Texas, 77396",77396,2021-04-06,29.9446789,-95.3023073
"209 Sylvester Rd, Houston, Texas, 77009",77009,2021-04-06,29.8114224,-95.3716099
"5921 Richmond Ave, Houston, Texas, 77057",77057,2021-04-06,29.7310755,-95.4835719
"275 Georgia St, Houston, Texas, 77029",77029,2021-04-06,29.7422426,-95.2579356
"7820 Junior St, Houston, Texas, 77012",77012,2021-04-06,29.7097300999999,-95.2813621999999
"4226 Hartsville Rd, Houston, Texas, 77047",77047,2021-04-06,29.6388700999999,-95.3603237999999
"1130 Carby Rd, Houston, Texas, 77037",77037,2021-04-06,29.8782082,-95.37001
"5542 Lakefield Dr, Houston, Texas, 77033",77033,2021-04-06,29.6476036,-95.3396027
"10414 Belridge St, Houston, Texas, 77016",77016,2021-04-06,29.8605026,-95.3170919
"5417 Flamingo Dr, Houston, Texas, 77033",77033,2021-04-06,29.6609008,-95.3422997
"9719 Leath St, Houston, Texas, 77093",77093,2021-04-06,29.8505571,-95.3256703
"1911 Athos St, Houston, Texas, 77012",77012,2021-04-06,29.7091277,-95.2749535999999
"11914 Binghampton Dr, Houston, Texas, 77089",77089,2021-04-07,29.5870091,-95.2030820999999
"6218 S Pinesap Dr, Houston, Texas, 77072",77072,2021-04-07,29.7113841,-95.6082825
"10006 Valley Club Dr, Houston, Texas, 77078",77078,2021-04-07,29.848177,-95.2396172999999
"7810 McLean St, Houston, Texas, 77051",77051,2021-04-07,29.6753818,-95.3592609999999
"402 77th St, Houston, Texas, 77012",77012,2021-04-07,29.7334118,-95.2871591
