Zip Code,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77002.0,0,0,0,0,0,0,0,0,0,0,0,2,12,6,14,9,7,7,0,1,2,3,4,19,8,10,12,11,10,18,5,12,11,14,8,10,18
77003.0,0,0,0,0,0,0,0,0,0,0,0,5,17,25,26,26,22,16,0,15,18,10,20,8,17,31,9,18,27,20,22,15,17,12,11,11,20
77004.0,0,0,0,0,0,0,0,0,0,0,0,22,31,54,31,35,35,36,0,33,28,33,26,25,42,39,47,49,32,28,36,24,21,26,35,22,30
77005.0,0,0,0,0,0,0,0,0,0,0,0,1,6,12,22,4,11,4,0,5,8,12,9,2,11,8,13,8,12,4,8,1,3,5,0,4,6
77006.0,0,0,0,0,0,0,0,0,0,0,0,1,11,33,24,25,15,25,0,18,20,18,29,39,26,40,23,20,10,13,16,14,19,16,23,16,32
77007.0,0,0,0,0,0,0,0,0,0,0,0,12,38,54,31,27,21,29,0,29,27,32,29,15,12,41,33,52,26,35,28,49,49,35,19,30,24
77008.0,0,0,0,0,0,0,0,0,0,0,0,7,41,31,40,35,27,33,0,20,15,14,22,32,43,55,37,28,37,24,26,31,29,30,33,25,48
77009.0,0,0,0,0,0,0,0,0,0,0,0,11,49,58,54,48,35,59,0,30,37,21,31,50,58,59,58,39,44,28,42,39,43,43,29,30,39
77010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
77011.0,0,0,0,0,0,0,0,0,0,0,0,5,32,30,33,30,29,27,0,7,7,18,16,17,22,31,18,13,37,25,24,20,14,14,8,16,19
77012.0,0,0,0,0,0,0,0,0,0,0,0,14,17,34,23,18,19,21,0,5,6,19,26,19,25,22,19,14,21,14,11,20,9,12,11,9,12
77013.0,0,0,0,0,0,0,0,0,0,0,0,3,19,9,8,12,17,13,0,7,7,9,8,11,15,14,8,12,14,7,9,15,9,8,12,7,13
77014.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0
77015.0,0,0,0,0,0,0,0,0,0,0,0,2,21,24,20,27,19,31,0,16,15,19,24,22,17,109,30,17,18,11,26,28,11,7,12,10,21
