Zipcode,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-11
77002,1.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0
77003,5.0,4.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,4.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,4.0,2.0,4.0,0.0,2.0,1.0,0.0
77004,4.0,9.0,6.0,4.0,2.0,4.0,7.0,7.0,5.0,4.0,9.0,13.0,9.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,7.0,3.0,5.0,3.0,6.0,6.0,6.0,7.0,7.0,1.0,1.0,0.0
77005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
77006,3.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,10.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0
77007,4.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,6.0,3.0,2.0,0.0,1.0,5.0,3.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,5.0,0.0,5.0,3.0,2.0,2.0,0.0
77008,4.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,6.0,9.0,0.0,1.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,3.0,5.0,6.0,6.0,4.0,0.0,1.0,0.0
77009,17.0,5.0,5.0,4.0,7.0,7.0,2.0,4.0,6.0,12.0,9.0,12.0,4.0,1.0,2.0,0.0,0.0,2.0,1.0,6.0,7.0,5.0,11.0,2.0,1.0,1.0,5.0,3.0,2.0,1.0,3.0,6.0,6.0,10.0,6.0,3.0,3.0,3.0,4.0,0.0
77011,4.0,2.0,3.0,0.0,3.0,6.0,1.0,3.0,5.0,1.0,4.0,6.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,7.0,10.0,2.0,7.0,0.0
77012,6.0,4.0,2.0,0.0,1.0,3.0,3.0,7.0,4.0,3.0,5.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,3.0,6.0,2.0,7.0,4.0,2.0,2.0,0.0,2.0,1.0,0.0
