Zipcode,2021-01-01/2021-01-06,2021-01-07/2021-01-12,2021-01-13/2021-01-18,2021-01-19/2021-01-24,2021-01-25/2021-01-30,2021-01-31/2021-02-05,2021-02-06/2021-02-11,2021-02-12/2021-02-17,2021-02-18/2021-02-23,2021-02-24/2021-03-01,2021-03-02/2021-03-07,2021-03-08/2021-03-13,2021-03-14/2021-03-19,2021-03-20/2021-03-25,2021-03-26/2021-03-31,2021-04-01/2021-04-06,2021-04-07/2021-04-12,2021-04-13/2021-04-18,2021-04-19/2021-04-24,2021-04-25/2021-04-30,2021-05-01/2021-05-06,2021-05-07/2021-05-12,2021-05-13/2021-05-18,2021-05-19/2021-05-24,2021-05-25/2021-05-30,2021-05-31/2021-06-05,2021-06-06/2021-06-11,2021-06-12/2021-06-17,2021-06-18/2021-06-23,2021-06-24/2021-06-29,2021-06-30/2021-07-05,2021-07-06/2021-07-11,2021-07-12/2021-07-17,2021-07-18/2021-07-23,2021-07-24/2021-07-29,2021-07-30/2021-08-04,2021-08-05/2021-08-10,2021-08-11/2021-08-16,2021-08-17/2021-08-22,2021-08-23/2021-08-28,2021-08-29/2021-09-03,2021-09-04/2021-09-09,2021-09-10/2021-09-15,2021-09-16/2021-09-21,2021-09-22/2021-09-27,2021-09-28/2021-10-03,2021-10-04/2021-10-09,2021-10-10/2021-10-15,2021-10-16/2021-10-21,2021-10-22/2021-10-27,2021-10-28/2021-11-02,2021-11-03/2021-11-08,2021-11-09/2021-11-14,2021-11-15/2021-11-20,2021-11-21/2021-11-26,2021-11-27/2021-12-02,2021-12-03/2021-12-08,2021-12-09/2021-12-14,2021-12-15/2021-12-20,2021-12-21/2021-12-26,2021-12-27/2022-01-01,2022-01-02/2022-01-07,2022-01-08/2022-01-13,2022-01-14/2022-01-19,2022-01-20/2022-01-25,2022-01-26/2022-01-31,2022-02-01/2022-02-06,2022-02-07/2022-02-12,2022-02-13/2022-02-18,2022-02-19/2022-02-24,2022-02-25/2022-03-02,2022-03-03/2022-03-08,2022-03-09/2022-03-14,2022-03-15/2022-03-20,2022-03-21/2022-03-26,2022-03-27/2022-04-01,2022-04-02/2022-04-07,2022-04-08/2022-04-13,2022-04-14/2022-04-19,2022-04-20/2022-04-25,2022-04-26/2022-05-01,2022-05-02/2022-05-07,2022-05-08/2022-05-13,2022-05-14/2022-05-19,2022-05-20/2022-05-25,2022-05-26/2022-05-31,2022-06-01/2022-06-06,2022-06-07/2022-06-12,2022-06-13/2022-06-18,2022-06-19/2022-06-24,2022-06-25/2022-06-30,2022-07-01/2022-07-06,2022-07-07/2022-07-12,2022-07-13/2022-07-18,2022-07-19/2022-07-24,2022-07-25/2022-07-30,2022-07-31/2022-08-05,2022-08-06/2022-08-11,2022-08-12/2022-08-17,2022-08-18/2022-08-23,2022-08-24/2022-08-29,2022-08-30/2022-09-04,2022-09-05/2022-09-10,2022-09-11/2022-09-16,2022-09-17/2022-09-22,2022-09-23/2022-09-28,2022-09-29/2022-10-04,2022-10-05/2022-10-10,2022-10-11/2022-10-16,2022-10-17/2022-10-22,2022-10-23/2022-10-28,2022-10-29/2022-11-03,2022-11-04/2022-11-09,2022-11-10/2022-11-15,2022-11-16/2022-11-21,2022-11-22/2022-11-27,2022-11-28/2022-12-03,2022-12-04/2022-12-09,2022-12-10/2022-12-15,2022-12-16/2022-12-21,2022-12-22/2022-12-27,2022-12-28/2023-01-02,2023-01-03/2023-01-08,2023-01-09/2023-01-14,2023-01-15/2023-01-20,2023-01-21/2023-01-26,2023-01-27/2023-02-01,2023-02-02/2023-02-07,2023-02-08/2023-02-13,2023-02-14/2023-02-19,2023-02-20/2023-02-25,2023-02-26/2023-03-03,2023-03-04/2023-03-09,2023-03-10/2023-03-15,2023-03-16/2023-03-21,2023-03-22/2023-03-27,2023-03-28/2023-04-02,2023-04-03/2023-04-08,2023-04-09/2023-04-14,2023-04-15/2023-04-20,2023-04-21/2023-04-26,2023-04-27/2023-05-02,2023-05-03/2023-05-08,2023-05-09/2023-05-14,2023-05-15/2023-05-20,2023-05-21/2023-05-26,2023-05-27/2023-06-01,2023-06-02/2023-06-07,2023-06-08/2023-06-13,2023-06-14/2023-06-19,2023-06-20/2023-06-25,2023-06-26/2023-07-01,2023-07-02/2023-07-07,2023-07-08/2023-07-13,2023-07-14/2023-07-19,2023-07-20/2023-07-25,2023-07-26/2023-07-31,2023-08-01/2023-08-06,2023-08-07/2023-08-12,2023-08-13/2023-08-18,2023-08-19/2023-08-24,2023-08-25/2023-08-30,2023-08-31/2023-09-05,2023-09-06/2023-09-11,2023-09-12/2023-09-17,2023-09-18/2023-09-23,2023-09-24/2023-09-29,2023-09-30/2023-10-05,2023-10-06/2023-10-11,2023-10-12/2023-10-17,2023-10-18/2023-10-23,2023-10-24/2023-10-29,2023-10-30/2023-11-04,2023-11-05/2023-11-10,2023-11-11/2023-11-16,2023-11-17/2023-11-22,2023-11-23/2023-11-28,2023-11-29/2023-12-04,2023-12-05/2023-12-10,2023-12-11/2023-12-16,2023-12-17/2023-12-22,2023-12-23/2023-12-28,2023-12-29/2024-01-03,2024-01-04/2024-01-09,2024-01-10/2024-01-15,2024-01-16/2024-01-21,2024-01-22/2024-01-27,2024-01-28/2024-02-02,2024-02-03/2024-02-08,2024-02-09/2024-02-14,2024-02-15/2024-02-20,2024-02-21/2024-02-26,2024-02-27/2024-03-03,2024-03-04/2024-03-09,2024-03-10/2024-03-15,2024-03-16/2024-03-21,2024-03-22/2024-03-27,2024-03-28/2024-04-02,2024-04-03/2024-04-08,2024-04-09/2024-04-14,2024-04-15/2024-04-20,2024-04-21/2024-04-26,2024-04-27/2024-05-02,2024-05-03/2024-05-08,2024-05-09/2024-05-14,2024-05-15/2024-05-20,2024-05-21/2024-05-26,2024-05-27/2024-06-01,2024-06-02/2024-06-07,2024-06-08/2024-06-13,2024-06-14/2024-06-19,2024-06-20/2024-06-25,2024-06-26/2024-07-01,2024-07-02/2024-07-07,2024-07-08/2024-07-13,2024-07-14/2024-07-19,2024-07-20/2024-07-25,2024-07-26/2024-07-31,2024-08-01/2024-08-06,2024-08-07/2024-08-12,2024-08-13/2024-08-18,2024-08-19/2024-08-24,2024-08-25/2024-08-30,2024-08-31/2024-09-05,2024-09-06/2024-09-11,2024-09-12/2024-09-17,2024-09-18/2024-09-23,2024-09-24/2024-09-29,2024-09-30/2024-10-05,2024-10-06/2024-10-11,2024-10-12/2024-10-17,2024-10-18/2024-10-23,2024-10-24/2024-10-29,2024-10-30/2024-11-04,2024-11-05/2024-11-10,2024-11-11/2024-11-16,2024-11-17/2024-11-22,2024-11-23/2024-11-28,2024-11-29/2024-12-04,2024-12-05/2024-12-10,2024-12-11/2024-12-16,2024-12-17/2024-12-22,2024-12-23/2024-12-28,2024-12-29/2024-12-31
77002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.18,0.8,0.36,0.8,0.18,0.0,0.08,0.0,0.04,0.0,0.04,0.14,0.6400000000000001,0.76,0.0,0.08,0.0,0.9600000000000001,0.0,0.2,0.0,0,0.7466666666666667,0.0,0.0,0.0,0.28,0.12,0.0,0.06,0.17333333333333334,0.2,0.0,0.32,0.0,0.3866666666666667,0.12000000000000001,0.26,0.44800000000000006,0.5733333333333334,0.0,0.08,0.04,0.0,0,0.0,0.0,0.0,1.44,0.28,0.14,0.6000000000000001,0.4266666666666667,1.16,0.08,0.0,0.18666666666666665,0.09333333333333332,0.0,0.32,0.5866666666666668,0.0,0.08,2.16,0.26,0.24000000000000002,0.16,0.06,0.12,0.0,0.0,0,0.5,0.08,0.04,0.6666666666666666,0.08,0.39999999999999997,0.26666666666666666,0.34,0.36,1.25,0.04,0.0,0.0,0.29000000000000004,0.56,0,0.56,0.0,0.6799999999999999,0.0,0,0.08,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.6266666666666666,0.0,0.24000000000000002,1.6266666666666667,0.48,0.04,0.08,0.76,0.0,0.64,0.5,0.0,0.0,0.48000000000000004,0.68,0.68,0.0,0.38,0.4266666666666667,0.96,0.0,0.0,0.976,0.0,1.4,0.12000000000000001,0.08,0,0.0,0.04,1.8,0.5066666666666667,0.22,0.0,0.0,1.32,0.0,0.44,0.6133333333333333,0.4266666666666667,0.44000000000000006,0.8666666666666667,0.0,0.68,0.24,1.5,1.28,0.32,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6,0.88,0.12000000000000001,1.16,0.26,0.0,0.04,0.04,0.04,0.12,0.12,0.14,0.6000000000000001,0.88,0.08,0.04,0.0,1.3599999999999999,0.0,0.38,0.0,0,0.9600000000000001,0.0,0.0,0.0,0.12,0.0,0.2,0.78,0.56,0.27999999999999997,0.2,0.06666666666666667,0.3333333333333333,0.54,0.04,0.40800000000000003,1.06,0.72,0.0,0.0,0.19999999999999998,0.0,0,0.0,0.0,0.0,0.7866666666666667,0.44,0.2,0.66,0.49333333333333335,1.1600000000000001,0.0,0.0,0.42000000000000004,0.2,0.04,0.22666666666666666,0.39999999999999997,0.0,0.44,0.9,0.19,0.28,0.12,0.06,0.08,0.0,0.0,0,1.2000000000000002,0.16,0.04,0.7866666666666666,0.16,0.04,0.28,0.5,0.3,1.1500000000000001,0.0,0.0,0.04,0.5066666666666667,0.7200000000000001,0,0.46,0.0,0.4533333333333333,0.24000000000000002,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.16,0.4266666666666667,0.0,1.04,1.4133333333333333,0.48,0.0,0.12,0.52,0.0,0.66,0.58,0.24,0.0,1.06,0.38,0.26,0.0,0.44000000000000006,0.6666666666666666,1.12,0.0,0.04,1.016,0.0,1.4,0.12,0.08,0,0.0,0.04,1.6400000000000001,0.61,0.64,0.0,0.0,0.88,0.0,0.4,0.8000000000000002,0.38,0.5,0.9200000000000002,0.0,0.86,0.9600000000000001,0.5333333333333333,0.6799999999999999,0.08,0.4600000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.18,0.88,0.39999999999999997,0.72,0.12000000000000001,0.0,0.08,0.0,0.04,0.0,0.0,0.09333333333333332,0.6000000000000001,0.56,0.0,0.05333333333333334,0.0,1.32,0.0,0.18000000000000002,0.0,0,0.7733333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.16,0.18666666666666668,0.04,0.24,0.0,0.6000000000000001,0.08,0.29000000000000004,0.672,0.61,0.0,0.0,0.04,0.0,0,0.0,0.0,0.0,0.8666666666666667,0.36,0.16,0.76,0.64,1.2133333333333334,0.0,0.0,0.25333333333333335,0.10666666666666667,0.0,0.4000000000000001,0.9200000000000002,0.0,0.08,0.9600000000000001,0.26666666666666666,0.28,0.08,0.08,0.08,0.0,0.0,0,0.42000000000000004,0.12,0.0,0.6933333333333334,0.0,0.18,0.54,0.38,0.32,1.31,0.04,0.0,0.32,0.5733333333333334,0.76,0,0.36,0.0,0.68,0.0,0,0.12,0.0,0.0,0,0,0.0,0.0,0.0,0.04,0.44,0.0,0.08,1.3333333333333333,0.44,0.0,0.08,0.6,0.0,0.5800000000000001,0.54,0.04,0.04,1.08,0.27999999999999997,0.84,0.0,0.5,0.45333333333333337,0.88,0.0,0.0,0.968,0.0,1.4,0.08,0.08,0,0.0,0.04,1.44,0.86,0.24,0.0,0.0,0.9400000000000001,0.0,0.52,0.7600000000000001,1.68,0.19999999999999998,0.46,0.0,0.66,0.27999999999999997,0.9333333333333335,1.04,0.19999999999999998,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.64,1.2000000000000002,0.36000000000000004,0.6799999999999999,0.12000000000000001,0.0,0.06,0.06,0.06,0.14,0.0,0.09333333333333332,0.88,0.28,0.0,0.13999999999999999,0.0,1.7200000000000002,0.0,0.52,0.0,0,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.08,1.24,0.24,0.6799999999999999,0.0,0.08,0.04,0.62,0.0,0.664,0.184,0.9466666666666668,0.48,0.0,0.0,0.0,0,0.0,0.0,0.2,1.14,0.36,0.32,0.54,0.72,1.1066666666666667,0.0,0.0,0.33,0.34,0.0,0.49333333333333335,1.1800000000000002,0.0,0.04,1.9600000000000002,0.28,0.36,0.24,0.04,0.08,0.04,0.0,0,0.5599999999999999,0.04,0.04,1.2666666666666666,0.0,0.15999999999999998,0.6799999999999999,0.44,0.16,1.43,0.56,0.0,0.2,0.30000000000000004,0.56,0,0.36,0.0,0.5733333333333334,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.12,0.0,0.09333333333333332,0.0,0.12,1.32,0.48,0.0,0.04,0.52,0.0,0.64,0.54,0.04,0.0,0.37999999999999995,0.04,0.32,0.0,0.25333333333333335,0.4000000000000001,0.92,0.0,0.0,1.296,0.0,0.76,0.0,0.04,0,0.0,0.04,1.0,0.3866666666666667,0.28,0.0,0.0,0.8600000000000001,0.0,0.48,1.0,0.8200000000000001,0.62,0.76,0.0,0.73,0.72,1.4999999999999998,0.7733333333333334,0.08,0.19999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.19999999999999998,0.8,0.4,0.88,0.24,0.0,0.08,0.0,0.06,0.0,0.04,0.16,0.74,0.8,0.04,0.05333333333333334,0.0,1.32,0.12,0.22,0.0,0,0.7600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.32000000000000006,0.5599999999999999,0.18,0.0,0.58,0.04,0.64,0.16,0.37,0.528,0.72,0.08,0.0,0.32,0.0,0,0.0,0.0,0.04,1.22,0.4,0.18,0.84,0.72,1.05,0.0,0.0,0.3333333333333333,0.14666666666666667,0.0,0.26666666666666666,0.98,0.04,0.08,1.06,0.3466666666666667,0.27999999999999997,0.16,0.06,0.08,0.0,0.0,0,0.5,0.08,0.0,0.84,0.0,0.32,0.52,0.46,0.16,1.51,0.12000000000000001,0.0,0.19999999999999998,0.6799999999999999,0.48,0,0.46,0.0,0.328,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.6,0.13333333333333333,0.0,0.16,1.4533333333333331,0.48,0.0,0.12000000000000001,0.30000000000000004,0.04,0.52,0.5800000000000001,0.04,0.0,1.04,0.12000000000000001,0.52,0.0,0.42000000000000004,0.6,1.02,0.0,0.04,0.96,0.04,1.4,0.0,0.08,0,0.0,0.04,1.1600000000000001,0.5333333333333333,0.28,0.0,0.04,0.9400000000000002,0.0,0.52,1.04,1.26,0.3,0.6133333333333334,0.0,1.1600000000000001,0.28,0.92,1.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0999999999999996,0.92,0.4,0.68,0.22666666666666668,0.0,0.28,0.04,0.12,0.18,0.04,0.22,0.7999999999999999,0.16,0.0,0.1,0.04,1.6400000000000001,0.24,0.38,0.0,0,1.04,0.0,0.1,0.0,0.0,0.0,0.06,0.08,0.56,0.0,0.0,0.04,0.04,0.96,0.04,0.976,0.32,0.46,0.04,0.0,0.0,0.0,0,0.0,0.0,1.2,0.8800000000000001,0.16,0.27999999999999997,0.48,0.48000000000000004,0.7866666666666667,0.0,0.0,0.47000000000000003,0.28,0.0,0.5066666666666667,0.37333333333333335,0.0,0.12000000000000001,1.82,0.32000000000000006,0.56,0.26,0.08,0.08,0.04,0.0,0,0.46,0.04,0.0,1.04,0.0,0.46,0.86,0.24,0.25333333333333335,1.92,0.24000000000000002,0.04,0.2,0.5599999999999999,0.39999999999999997,0,0.92,0.0,0.75,0.0,0,0.04,0.0,0.0,0,0,0.0,0.0,0.32,0.6799999999999999,0.34,0.0,0.14,1.3066666666666666,0.4,0.0,0.0,0.30000000000000004,0.12,0.58,0.42,0.04,0.08,0.28,0.16,1.08,0.0,0.42000000000000004,0.48,0.8400000000000001,0.0,0.0,1.2879999999999998,0.08,1.6,0.0,0.04,0,0.0,0.0,0.12,0.5333333333333333,0.36000000000000004,0.0,0.0,1.06,0.76,0.32,0.84,0.9,1.68,1.36,0.0,1.032,0.7999999999999999,0.26,0.78,0.1,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.24,0.46,0.36,0.96,0.2933333333333334,0.0,0.05,0.06,0.05,0.31999999999999995,0.05333333333333334,0.15,0.8,0.76,0.1,0.088,0.0,2.24,0.14,0.36000000000000004,0.0,0,1.0600000000000003,0.0,0.0,0.0,0.0,0.04,0.24,0.9714285714285715,0.0,1.02,0.14,0.27,0.25333333333333335,0.4960000000000001,0.22666666666666668,0.5800000000000001,0.38,0.776,0.0,0.6000000000000001,0.08,0.0,0,0.0,0.32,1.08,0.8999999999999999,0.4,0.256,0.7000000000000001,0.544,1.0342857142857145,0.0,0.04,0.46,0.2066666666666667,0.0,0.45600000000000007,1.33,0.04,0.22666666666666666,1.1300000000000001,0.27999999999999997,0.2,0.12,0.12000000000000001,0.04,0.04,0.0,0,0.52,0.04,0.0,0.7000000000000001,0.0,0.184,0.584,0.79,0.16,1.7700000000000002,0.18,0.0,0.2,0.43333333333333335,0.2866666666666667,0,0.18,0.0,0.2914285714285714,0.22,0,0.0,0.0,0.0,0,0,0.12,0.19999999999999998,0.28,1.7400000000000002,0.5599999999999999,0.0,0.5,1.2066666666666668,0.38,0.0,0.04,1.78,0.04,0.49,0.54,0.14,0.04,0.8880000000000001,0.10666666666666667,0.56,0.0,0.45600000000000007,0.58,0.9520000000000002,0.0,0.05333333333333334,0.9479999999999998,0.0,1.2599999999999998,0.08,0.06,0,0.0,0.05333333333333334,1.3800000000000001,0.56,0.26,0.0,0.06,1.15,0.24,0.48000000000000004,1.9100000000000001,1.58,0.44,0.44800000000000006,0.0,0.98,0.26666666666666666,0.32999999999999996,0.42400000000000004,0.04,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.52,0.6000000000000001,0.28,1.2,0.24,0.0,0.04,0.04,0.04,0.28,0.28,0.06,0.6599999999999999,0.52,0.04,0.04,0.0,0.96,0.12,0.32,0.0,0,1.1466666666666667,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.12,0.0,1.28,0.0,0.06,0.1,0.16,0.5466666666666667,0.18666666666666668,0.15,0.08,0.04,0.0,0.0,0,0.0,0.44,0.04,0.9733333333333333,0.52,0.12000000000000001,0.5866666666666666,0.5733333333333334,1.1733333333333336,0.0,0.0,0.27,0.14666666666666667,0.0,0.5333333333333333,0.78,0.0,0.16,0.7599999999999999,0.19,0.12,0.06,0.1,0.04,0.0,0.0,0,0.7000000000000001,0.12000000000000001,0.04,0.52,0.28,0.04,0.45999999999999996,0.45999999999999996,0.2,1.07,0.0,0.0,0.2,0.4000000000000001,2.84,0,0.6,0.0,0.6666666666666666,0.2,0,0.26,0.0,0.0,0,0,0.0,0.0,0.36,0.44,0.7333333333333334,0.0,0.6000000000000001,0.9333333333333332,0.64,0.0,0.08,2.64,0.08,0.62,0.5599999999999999,0.28,0.04,1.96,0.3,0.4,0.0,0.78,0.7200000000000001,0.8266666666666668,0.0,0.04,0.9199999999999999,0.0,1.52,0.08,0.12,0,0.0,0.04,0.0,0.48000000000000004,0.34,0.0,0.0,1.1800000000000002,0.0,0.24,1.6,0.48000000000000004,1.1,0.92,0.0,0.9199999999999999,0.76,0.22,0.8200000000000001,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.8,0.72,0.4,0.76,0.24000000000000002,0.0,0.08,0.04,0.06,0.14,0.0,0.1,0.76,0.36,0.04,0.12,0.0,2.6,0.16,0.6,0.0,0,1.2533333333333332,0.0,0.04,0.0,0.0,0.0,0.14,0.2,0.0,0.32,0.0,0.2,0.10666666666666665,0.67,0.84,0.736,0.664,0.9866666666666667,0.44,0.0,1.4,0.0,0,0.0,0.0,0.12,0.6666666666666666,0.24000000000000002,0.32,0.22000000000000003,0.45333333333333337,0.8400000000000001,0.04,0.0,0.384,0.22666666666666668,0.0,0.5466666666666667,0.8533333333333334,0.04,0.04,1.04,0.16,0.36,0.4,0.12,0.12,0.08,0.0,0,0.56,0.08,0.0,1.1333333333333335,0.04,0.27999999999999997,0.42,0.7,0.22666666666666668,1.13,0.0,0.0,0.0,0.3866666666666667,0.16,0,1.1400000000000001,0.0,0.8400000000000001,0.12,0,0.0,0.08,0.39999999999999997,0,0,0.44,0.0,0.44,0.0,0.13333333333333333,0.0,0.68,0.9066666666666666,0.56,0.0,0.0,0.3,0.0,1.02,0.6,0.04,0.0,0.48,0.08,0.7200000000000001,0.0,0.5,0.39999999999999997,0.8600000000000001,0.0,0.0,1.44,0.0,1.52,0.04,0.08,0,0.0,0.04,1.0,0.36000000000000004,0.08,0.0,0.0,0.92,0.04,0.44,0.7866666666666667,0.8600000000000001,0.64,0.5333333333333333,0.0,0.9500000000000002,0.7600000000000001,0.8133333333333335,2.2800000000000002,0.24,0.48000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.24,1.04,0.44,0.96,0.30000000000000004,0.0,0.08,0.0,0.08,0.04,0.04,0.09333333333333332,0.8200000000000001,0.8400000000000001,0.04,0.04,0.0,1.16,0.1,0.13333333333333333,0.0,0,0.7999999999999999,0.0,0.0,0.0,0.0,0.16,0.0,0.6600000000000001,1.5,0.76,0.0,0.98,0.08,1.46,0.2,0.23199999999999998,0.66,1.12,0.0,0.0,0.13999999999999999,0.0,0,0.0,0.0,0.0,0.9333333333333332,0.36,0.2,0.9000000000000001,0.74,1.4266666666666667,0.0,0.04,0.38,0.14666666666666667,0.04,0.16,0.5733333333333334,0.0,0.04,2.2,0.24,0.28,0.12,0.12,0.08,0.0,0.0,0,0.56,0.1,0.0,1.0533333333333335,0.04,0.26,0.32,0.56,0.19999999999999998,1.3,0.08,0.0,0.0,0.6100000000000001,0.9199999999999999,0,0.42000000000000004,0.0,0.304,0.04,0,0.04,0.08,0.0,0,0,0.0,0.04,0.24,0.36000000000000004,0.4533333333333333,0.0,0.24,1.5733333333333335,0.52,0.0,0.16,0.6,0.04,0.5,0.4000000000000001,0.16,0.04,1.3599999999999999,0.26,0.88,0.0,0.4,0.5200000000000001,1.0,0.0,0.04,0.8480000000000001,0.0,1.4,0.12,0.08,0,0.0,0.04,2.04,0.6133333333333334,0.36000000000000004,0.0,0.0,0.9,0.0,0.4,0.5466666666666666,0.72,0.27999999999999997,1.08,0.0,1.11,0.24000000000000002,0.52,0.7200000000000001,0.13999999999999999,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
