,Zipcode,2021-01-01/2021-01-07,2021-01-08/2021-01-14,2021-01-15/2021-01-21,2021-01-22/2021-01-28,2021-01-29/2021-02-04,2021-02-05/2021-02-11,2021-02-12/2021-02-18,2021-02-19/2021-02-25,2021-02-26/2021-03-04,2021-03-05/2021-03-11,2021-03-12/2021-03-18,2021-03-19/2021-03-25,2021-03-26/2021-04-01,2021-04-02/2021-04-08,2021-04-09/2021-04-15,2021-04-16/2021-04-22,2021-04-23/2021-04-29,2021-04-30/2021-05-06,2021-05-07/2021-05-13,2021-05-14/2021-05-20,2021-05-21/2021-05-27,2021-05-28/2021-06-03,2021-06-04/2021-06-10,2021-06-11/2021-06-17,2021-06-18/2021-06-24,2021-06-25/2021-07-01,2021-07-02/2021-07-08,2021-07-09/2021-07-15,2021-07-16/2021-07-22,2021-07-23/2021-07-29,2021-07-30/2021-08-05,2021-08-06/2021-08-12,2021-08-13/2021-08-19,2021-08-20/2021-08-26,2021-08-27/2021-09-02,2021-09-03/2021-09-09,2021-09-10/2021-09-16,2021-09-17/2021-09-23,2021-09-24/2021-09-30,2021-10-01/2021-10-07,2021-10-08/2021-10-14,2021-10-15/2021-10-21,2021-10-22/2021-10-28,2021-10-29/2021-11-04,2021-11-05/2021-11-11,2021-11-12/2021-11-18,2021-11-19/2021-11-25,2021-11-26/2021-12-02,2021-12-03/2021-12-09,2021-12-10/2021-12-16,2021-12-17/2021-12-23,2021-12-24/2021-12-30,2021-12-31/2022-01-06,2022-01-07/2022-01-13,2022-01-14/2022-01-20,2022-01-21/2022-01-27,2022-01-28/2022-02-03,2022-02-04/2022-02-10,2022-02-11/2022-02-17,2022-02-18/2022-02-24,2022-02-25/2022-03-03,2022-03-04/2022-03-10,2022-03-11/2022-03-17,2022-03-18/2022-03-24,2022-03-25/2022-03-31,2022-04-01/2022-04-07,2022-04-08/2022-04-14,2022-04-15/2022-04-21,2022-04-22/2022-04-28,2022-04-29/2022-05-05,2022-05-06/2022-05-12,2022-05-13/2022-05-19,2022-05-20/2022-05-26,2022-05-27/2022-06-02,2022-06-03/2022-06-09,2022-06-10/2022-06-16,2022-06-17/2022-06-23,2022-06-24/2022-06-30,2022-07-01/2022-07-07,2022-07-08/2022-07-14,2022-07-15/2022-07-21,2022-07-22/2022-07-28,2022-07-29/2022-08-04,2022-08-05/2022-08-11,2022-08-12/2022-08-18,2022-08-19/2022-08-25,2022-08-26/2022-09-01,2022-09-02/2022-09-08,2022-09-09/2022-09-15,2022-09-16/2022-09-22,2022-09-23/2022-09-29,2022-09-30/2022-10-06,2022-10-07/2022-10-13,2022-10-14/2022-10-20,2022-10-21/2022-10-27,2022-10-28/2022-11-03,2022-11-04/2022-11-10,2022-11-11/2022-11-17,2022-11-18/2022-11-24,2022-11-25/2022-12-01,2022-12-02/2022-12-08,2022-12-09/2022-12-15,2022-12-16/2022-12-22,2022-12-23/2022-12-29,2022-12-30/2023-01-05,2023-01-06/2023-01-12,2023-01-13/2023-01-19,2023-01-20/2023-01-26,2023-01-27/2023-02-02,2023-02-03/2023-02-09,2023-02-10/2023-02-16,2023-02-17/2023-02-23,2023-02-24/2023-03-02,2023-03-03/2023-03-09,2023-03-10/2023-03-16,2023-03-17/2023-03-23,2023-03-24/2023-03-30,2023-03-31/2023-04-06,2023-04-07/2023-04-13,2023-04-14/2023-04-20,2023-04-21/2023-04-27,2023-04-28/2023-05-04,2023-05-05/2023-05-11,2023-05-12/2023-05-18,2023-05-19/2023-05-25,2023-05-26/2023-06-01,2023-06-02/2023-06-08,2023-06-09/2023-06-15,2023-06-16/2023-06-22,2023-06-23/2023-06-29,2023-06-30/2023-07-06,2023-07-07/2023-07-13,2023-07-14/2023-07-20,2023-07-21/2023-07-27,2023-07-28/2023-08-03,2023-08-04/2023-08-10,2023-08-11/2023-08-17,2023-08-18/2023-08-24,2023-08-25/2023-08-31,2023-09-01/2023-09-07,2023-09-08/2023-09-14,2023-09-15/2023-09-21,2023-09-22/2023-09-28,2023-09-29/2023-10-05,2023-10-06/2023-10-12,2023-10-13/2023-10-19,2023-10-20/2023-10-26,2023-10-27/2023-11-02,2023-11-03/2023-11-09,2023-11-10/2023-11-16,2023-11-17/2023-11-23,2023-11-24/2023-11-30,2023-12-01/2023-12-07,2023-12-08/2023-12-14,2023-12-15/2023-12-21,2023-12-22/2023-12-28,2023-12-29/2024-01-04,2024-01-05/2024-01-11,2024-01-12/2024-01-18,2024-01-19/2024-01-25,2024-01-26/2024-02-01,2024-02-02/2024-02-08,2024-02-09/2024-02-15,2024-02-16/2024-02-22,2024-02-23/2024-02-29,2024-03-01/2024-03-07,2024-03-08/2024-03-14,2024-03-15/2024-03-21,2024-03-22/2024-03-28,2024-03-29/2024-04-04,2024-04-05/2024-04-11,2024-04-12/2024-04-18,2024-04-19/2024-04-25,2024-04-26/2024-05-02,2024-05-03/2024-05-09,2024-05-10/2024-05-16,2024-05-17/2024-05-23,2024-05-24/2024-05-30,2024-05-31/2024-06-06,2024-06-07/2024-06-13,2024-06-14/2024-06-20,2024-06-21/2024-06-27,2024-06-28/2024-07-04,2024-07-05/2024-07-11,2024-07-12/2024-07-18,2024-07-19/2024-07-25,2024-07-26/2024-08-01,2024-08-02/2024-08-08,2024-08-09/2024-08-15,2024-08-16/2024-08-22,2024-08-23/2024-08-29,2024-08-30/2024-09-05,2024-09-06/2024-09-12,2024-09-13/2024-09-19,2024-09-20/2024-09-26,2024-09-27/2024-10-03,2024-10-04/2024-10-10,2024-10-11/2024-10-17,2024-10-18/2024-10-24,2024-10-25/2024-10-31,2024-11-01/2024-11-07,2024-11-08/2024-11-14,2024-11-15/2024-11-21,2024-11-22/2024-11-28,2024-11-29/2024-12-05,2024-12-06/2024-12-12,2024-12-13/2024-12-19,2024-12-20/2024-12-26,2024-12-27/2024-12-31
0,77002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.18,0.8,0.36,0.3866666666666667,0.0,0.08,0.0,0.04,0.0,0.10666666666666667,0.6399999999999999,0.76,0.0,0.08,0.0,0.96,0.2,0.0,0,0.7466666666666666,0.0,0.0,0.0,0.2,0.0,0.09333333333333334,0.21333333333333337,0.12,0.3,0.36,0.3866666666666667,0.28,0.336,0.30000000000000004,0.84,0.0,0.06,0.0,0.0,0.0,0.0,0.36,1.4,0.14,0.6000000000000001,0.71,0.96,0.08,0.18666666666666665,0.09333333333333332,0.6,0.13333333333333333,0.86,0.0,1.12,0.256,0.16,0.06,0.12,0.0,0.0,0.12,0.8800000000000001,0.06,0.44000000000000006,0.6000000000000001,0.3999999999999999,0.29000000000000004,0.32,0.9733333333333333,0.8266666666666668,0.0,0.0,0.44800000000000006,0.04,0.4,0.72,0.5066666666666667,1.2,0,0.08,0.0,0,0,0.0,0.0,0.0,0.7999999999999999,0.54,0.24,1.6266666666666667,0.26,0.0,0.42,0.0,1.08,0.4000000000000001,0.0,0.92,0.04,0.68,0.68,0.38,0.4266666666666667,0.96,0.0,0.99,0.92,1.4,0.12,0.08,0.0,0.04,0.04,0.8300000000000001,0.22,0.0,1.32,0.0,0.44,0.6133333333333333,0.4266666666666667,1.0933333333333335,0.1,0.7333333333333334,0.48000000000000004,1.5,1.28,0.33999999999999997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,77004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6,0.46,0.2,0.5599999999999999,0.0,0.04,0.04,0.04,0.12,0.13333333333333333,0.6000000000000001,0.88,0.08,0.04,0.0,1.36,0.37999999999999995,0.0,0,0.9600000000000001,0.0,0.0,0.0,0.12,0.2,0.78,0.42,0.0,0.1,0.48,0.37333333333333335,0.14,0.6533333333333333,0.6799999999999999,1.06,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.12,1.28,0.2,0.6599999999999999,0.736,1.22,0.0,0.42000000000000004,0.14666666666666667,0.44,0.09333333333333334,0.58,0.44,0.9,0.20800000000000002,0.12,0.06,0.08,0.0,0.0,0.0,1.2000000000000002,0.12999999999999998,0.30666666666666664,0.82,0.04,0.36,0.4,0.7400000000000001,1.12,0.0,0.04,0.56,0.0,0.44,0.48,0.5,0.3,0,0.0,0.0,0,0,0.0,0.0,0.0,0.22000000000000003,0.5,1.04,1.4133333333333333,0.48,0.0,0.32,0.0,1.0,0.49333333333333335,0.24,2.04,0.08,0.38,0.26,0.44000000000000006,0.6666666666666666,1.12,0.0,0.784,1.2000000000000002,1.4,0.12,0.08,0.0,0.0,0.04,0.8160000000000001,0.64,0.0,0.88,0.0,0.4,0.8000000000000002,0.37999999999999995,0.9066666666666667,0.12,1.08,0.7466666666666667,0.5333333333333333,0.4666666666666666,0.42000000000000004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,77007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.18,0.88,0.3999999999999999,0.32,0.0,0.08,0.0,0.04,0.0,0.12,0.41333333333333333,0.56,0.0,0.05333333333333334,0.0,1.32,0.18000000000000002,0.0,0,0.7733333333333334,0.0,0.0,0.0,0.0,0.0,0.10666666666666667,0.21,0.04,0.17333333333333334,0.24,0.6000000000000001,0.26,0.512,0.44000000000000006,0.88,0.0,0.04,0.0,0.0,0.0,0.0,0.12000000000000001,1.3599999999999999,0.16,0.76,1.0,0.96,0.0,0.25333333333333335,0.10666666666666667,0.64,0.27999999999999997,0.9200000000000002,0.0,0.6666666666666666,0.27,0.08,0.08,0.08,0.0,0.0,0.16,0.68,0.12,0.42000000000000004,1.24,0.18,0.49333333333333335,0.36,1.0266666666666666,0.84,0.0,0.32,0.62,0.0,0.4,0.32,0.54,0.96,0,0.12,0.0,0,0,0.0,0.0,0.0,0.16,0.52,0.08,1.3333333333333333,0.44,0.0,0.33999999999999997,0.0,0.92,0.43999999999999995,0.04,0.56,0.0,0.2799999999999999,0.84,0.5,0.45333333333333337,0.88,0.0,0.99,0.88,1.4,0.08,0.08,0.0,0.04,0.0,1.0533333333333335,0.24,0.0,0.9400000000000001,0.0,0.52,0.7600000000000001,1.68,0.32,0.24,0.76,0.4666666666666666,0.9333333333333335,0.7066666666666667,0.64,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,77008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.64,1.2000000000000002,0.36,0.26,0.0,0.06,0.06,0.06,0.14,0.12,0.6,0.28,0.0,0.13999999999999999,0.0,1.7200000000000002,0.52,0.0,0,1.0666666666666667,0.0,0.0,0.0,0.0,0.08,0.8,0.39999999999999997,0.0,0.08,0.0,0.4266666666666667,0.76,0.5133333333333333,0.15000000000000002,1.04,0.0,0.0,0.0,0.0,0.0,0.2,0.2799999999999999,1.18,0.32,0.54,0.9199999999999999,1.0,0.0,0.33,0.34,1.28,0.1,1.1800000000000002,0.0,1.0,0.30000000000000004,0.24,0.04,0.08,0.04,0.0,0.16,0.96,0.04,0.8933333333333332,1.16,0.15999999999999995,0.6,0.36,0.9199999999999999,0.9733333333333333,0.0,0.2,0.45600000000000007,0.04,0.4,0.32,0.48000000000000004,0.76,0,0.0,0.0,0,0,0.0,0.0,0.12,0.16,0.06,0.12,1.32,0.48,0.0,0.28,0.0,1.0,0.45333333333333337,0.04,0.6799999999999999,0.08,0.04,0.32,0.25333333333333335,0.4000000000000001,0.9199999999999999,0.0,1.23,1.56,0.76,0.0,0.04,0.0,0.04,0.0,0.54,0.28,0.0,0.86,0.0,0.48,1.0,0.8200000000000001,0.8799999999999999,0.12,0.64,0.7866666666666667,1.5,0.7733333333333334,0.16,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,77009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.19999999999999998,0.8,0.4,0.45333333333333337,0.0,0.08,0.0,0.06,0.0,0.12,0.74,0.8,0.04,0.05333333333333334,0.0,1.32,0.18666666666666668,0.0,0,0.7600000000000001,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.18666666666666668,0.12,1.12,0.04,0.44,0.22666666666666666,0.384,0.6133333333333333,0.39999999999999997,0.0,0.32,0.0,0.0,0.0,0.04,0.16,1.3399999999999999,0.18,0.84,0.8200000000000001,1.18,0.0,0.3333333333333333,0.14666666666666667,0.52,0.13999999999999999,0.6666666666666666,0.0,0.7333333333333334,0.32999999999999996,0.16,0.06,0.12,0.04,0.0,0.08,0.92,0.08,0.62,1.28,0.32,0.48,0.52,0.97,0.8666666666666667,0.0,0.19999999999999998,0.728,0.04,0.4,0.52,0.28,0.52,0,0.0,0.0,0,0,0.0,0.0,0.0,0.33999999999999997,0.16,0.16,1.4533333333333334,0.48,0.0,0.24,0.04,0.76,0.48,0.04,1.04,0.0,0.12,0.52,0.42000000000000004,0.6000000000000001,1.02,0.0,0.776,0.96,0.72,0.0,0.08,0.0,0.04,0.0,0.69,0.28,0.0,0.6400000000000001,0.0,0.52,1.04,1.26,0.7333333333333334,0.12000000000000001,1.6,0.5733333333333334,0.92,1.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,77014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.1,0.92,0.4,0.34,0.0,0.28,0.04,0.12,0.18,0.16,0.7999999999999999,0.16,0.0,0.1,0.04,1.64,0.3333333333333333,0.0,0,1.04,0.0,0.1,0.0,0.0,0.06,0.08,0.56,0.0,0.04,0.0,0.73,0.12000000000000001,0.968,0.29333333333333333,0.4,0.0,0.0,0.0,0.0,0.0,1.2,0.08,0.6666666666666666,0.27999999999999997,0.48,0.5733333333333334,0.8,0.0,0.47000000000000003,0.28,0.84,0.26666666666666666,0.5,0.0,1.2533333333333332,0.368,0.26,0.08,0.08,0.04,0.0,0.04,0.88,0.04,1.02,1.08,0.46,0.6266666666666666,0.32,1.12,0.83,0.04,0.2,0.64,0.15999999999999995,0.92,0.0,0.96,0.12,0,0.04,0.0,0,0,0.0,0.0,0.32,0.6599999999999999,0.04,0.13999999999999999,1.3066666666666666,0.4,0.0,0.30000000000000004,0.12,0.7999999999999999,0.39999999999999997,0.04,0.26,0.12,0.16,1.08,0.42000000000000004,0.48,0.84,0.0,1.41,0.8,0.8400000000000001,0.0,0.04,0.0,0.0,0.0,0.43,0.36000000000000004,0.0,1.06,0.0,0.54,0.84,0.9,1.5733333333333333,0.0,0.9333333333333332,1.0533333333333335,0.26,0.56,0.6133333333333334,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,77015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.24,0.46,0.36,0.5200000000000001,0.04,0.05,0.06,0.05,0.31999999999999995,0.10857142857142857,0.8,0.76,0.1,0.088,0.0,2.24,0.32999999999999996,0.04,0,1.0600000000000003,0.0,0.0,0.0,0.04,0.24,0.9714285714285715,0.0,1.02,0.22666666666666668,0.2,0.43428571428571433,0.48,0.56,0.26285714285714284,0.9866666666666667,0.0,0.42666666666666675,0.0,0.0,0.32,1.08,0.11,1.4400000000000002,0.256,0.7,0.79,0.9100000000000001,0.04,0.46,0.2066666666666667,0.64,0.3333333333333333,1.072,0.3,0.9199999999999999,0.26222222222222225,0.12,0.12000000000000001,0.04,0.04,0.0,0.1,0.94,0.04,0.46,1.1800000000000002,0.184,0.76,0.38,1.1866666666666665,0.7733333333333334,0.0,0.2,0.5050000000000001,0.07,0.2799999999999999,0.08,0.3333333333333333,0.16,0,0.0,0.0,0,0,0.12,0.19999999999999998,0.28,1.1,0.6266666666666667,0.5,1.2066666666666668,0.38,0.0,1.2,0.04,0.6799999999999999,0.46,0.10666666666666667,2.06,0.10666666666666665,0.10666666666666667,0.56,0.45600000000000007,0.58,0.9520000000000002,0.04,0.8480000000000001,0.56,1.26,0.08,0.06,0.0,0.05333333333333334,0.0,0.765,0.26,0.0,0.7866666666666666,0.0,0.39999999999999997,1.9100000000000001,1.58,0.5933333333333334,0.14666666666666667,0.44000000000000006,0.982857142857143,0.32999999999999996,0.36000000000000004,0.12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,77017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.52,0.6000000000000001,0.28,0.5599999999999999,0.0,0.04,0.04,0.04,0.28,0.13333333333333333,0.6599999999999999,0.52,0.04,0.04,0.0,0.96,0.25333333333333335,0.0,0,1.1466666666666667,0.0,0.0,0.0,0.0,0.04,0.22666666666666668,0.0,0.0,1.28,0.04,0.09333333333333334,0.24,0.4933333333333334,0.12,0.128,0.0,0.04,0.0,0.0,0.44,0.04,0.14,1.58,0.12000000000000001,0.5866666666666668,0.8900000000000001,0.8400000000000001,0.0,0.27,0.14666666666666667,0.48,0.45333333333333337,1.32,0.28,0.52,0.176,0.06,0.1,0.04,0.0,0.0,0.04,1.36,0.1,0.22000000000000003,0.7000000000000001,0.04,0.5066666666666667,0.32,0.64,1.06,0.0,0.2,1.01,0.0,0.64,0.5599999999999999,0.52,0.58,0,0.26,0.0,0,0,0.0,0.0,0.36,0.32,1.68,0.6000000000000001,0.9333333333333332,0.64,0.0,1.36,0.08,0.8,0.52,0.28,1.0,0.0,0.29999999999999993,0.4,0.78,0.7199999999999999,0.8266666666666668,0.0,0.8640000000000001,0.32,1.52,0.08,0.12,0.0,0.04,0.04,0.48000000000000004,0.34,0.0,1.1800000000000002,0.0,0.24,1.6,0.48000000000000004,1.2533333333333334,0.28,0.88,0.9066666666666666,0.22,0.56,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,77019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.8,0.72,0.4,0.41333333333333333,0.0,0.08,0.04,0.06,0.14,0.1,0.76,0.36,0.04,0.12,0.0,2.6,0.38,0.0,0,1.2533333333333332,0.04,0.04,0.0,0.0,0.14,0.2,0.6,0.04,0.16,0.17333333333333334,0.544,1.5599999999999998,0.45333333333333337,0.704,0.94,0.0,1.4,0.0,0.0,0.0,0.12,0.13999999999999999,0.7333333333333334,0.32,0.22,0.5840000000000001,0.6133333333333333,0.0,0.384,0.22666666666666668,1.4,0.09333333333333334,0.8533333333333334,0.0,0.7066666666666667,0.21,0.4,0.12,0.12,0.08,0.0,0.12,1.0,0.08,1.12,0.6,0.2799999999999999,0.6133333333333333,0.4,0.592,1.12,0.0,0.0,0.33,0.0,0.52,1.76,0.88,0.39999999999999997,0,0.0,0.23999999999999996,0,0,0.44,0.0,0.44,0.16,0.12000000000000001,0.68,0.9066666666666666,0.56,0.0,0.3,0.0,1.68,0.52,0.04,0.56,0.3999999999999999,0.08,0.7200000000000001,0.49999999999999994,0.39999999999999997,0.86,0.0,1.43,1.48,1.52,0.04,0.08,0.0,0.04,0.0,0.52,0.08,0.0,0.92,0.0,0.24,0.7866666666666666,0.8600000000000001,0.9066666666666667,0.08,1.12,0.7733333333333334,0.8133333333333335,2.28,0.4000000000000001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,77020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.23999999999999996,1.04,0.44,0.52,0.0,0.08,0.0,0.08,0.04,0.09333333333333334,0.5599999999999999,0.8400000000000001,0.04,0.04,0.0,1.16,0.14,0.04,0,0.7999999999999999,0.0,0.0,0.0,0.16,0.0,1.24,0.6799999999999999,0.0,0.98,0.12,0.9866666666666667,0.24,0.34,0.53,2.68,0.0,0.13999999999999999,0.0,0.0,0.0,0.0,0.14,1.44,0.2,0.9000000000000001,1.1333333333333333,1.18,0.04,0.38,0.14666666666666667,0.16,0.08,0.8400000000000001,0.04,1.12,0.25,0.12,0.12,0.08,0.0,0.0,0.04,1.08,0.1,0.86,0.74,0.26,0.42000000000000004,0.4,0.9,0.6933333333333334,0.0,0.0,0.672,0.0,0.32,0.52,0.24,0.30000000000000004,0,0.04,0.08,0,0,0.0,0.04,0.24,0.38,0.48,0.24,1.5733333333333335,0.52,0.0,0.38,0.04,0.76,0.36,0.16,0.7000000000000001,0.0,0.26,0.88,0.4,0.52,1.0,0.0,0.696,0.8,1.4,0.12,0.08,0.0,0.04,0.0,0.9700000000000001,0.36000000000000004,0.0,0.9,0.0,0.4,0.5466666666666666,0.72,0.7999999999999999,0.32,1.56,0.5199999999999999,0.52,0.5499999999999999,0.13999999999999999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
