﻿Site ID,Description,Source Address,Latitude,Longitude,Zipcode,
100,Clear Lake 2nd Outlet @ SH 146,43020,29.554639,-95.025513,77586,
105,Mary's Creek @ Winding Road,43021,29.543475,-95.217353,77584,
110,Clear Creek @ I-45,43022,29.50796,-95.11741,77573,
115,Cowart Creek @ Baker Road,43023,29.513234,-95.222531,77546,
120,Clear Creek @ FM 528,43024,29.517555,-95.179061,77546,
125,Chigger Creek @ Windsong Lane,43025,29.495189,-95.223522,77546,
130,Clear Creek @ Bay Area Boulevard,43026,29.497498,-95.159806,77573,
135,Clear Creek @ FM 2351,43027,29.542461,-95.196775,77546,
140,Turkey Creek @ FM 1959,43028,29.583903,-95.187552,77089,
145,Clear Creek @ Dixie Farm Road,43420,29.557717,-95.215939,77581,
150,Clear Creek @ Country Club Drive,43029,29.556148,-95.252032,77581,
160,Beamer Ditch @ Hughes Road,43030,29.591725,-95.222089,77089,
170,Clear Creek @ Nassau Bay,43031,29.534116,-95.091224,77058,
175,Clear Creek @ Pearland Pkwy,43196,29.594175,-95.266054,77089,
180,Clear Creek @ Mykawa Road,43032,29.596694,-95.297345,77581,
190,Clear Creek @ SH 288,43033,29.585932,-95.385979,77584,
200,Taylor Lake @ Nasa Road 1,43034,29.565371,-95.053834,77586,
210,Armand Bayou @ Pasadena Lake (Nasa Road 1),43035,29.564191,-95.070795,77586,
220,Armand Bayou @ Genoa-Red Bluff Road,43036,29.633755,-95.114485,77505,
230,Big Island Slough @ Fairmont Parkway,43037,29.651497,-95.076001,77571,
240,Little Vince Bayou @ Burke Road,43038,29.683502,-95.183473,77502,
250,Horsepen Creek @ Bay Area Boulevard,43039,29.583671,-95.103438,77058,
270,Willow Spring Bayou @ Fairmont Parkway,43040,29.650747,-95.110027,77571,
310,Berry Bayou @ Nevada Avenue,43041,29.656295,-95.228933,77587,
320,Berry Bayou @ Forest Oaks Boulevard,43042,29.676469,-95.243682,77017,
340,Sims Bayou @ Telephone Road,43043,29.674494,-95.289014,77087,
360,Sims Bayou @ Martin Luther King Road,43044,29.644783,-95.336798,77048,
370,Sims Bayou @ SH 288,43045,29.632178,-95.386657,77051,
380,Sims Bayou @ Hiram-Clarke Road,43046,29.619293,-95.445887,77045,
400,Harris Gully @ South McGregor Way,43047,29.707682,-95.392158,77030,
405,Brays Bayou @ Martin Luther King Blvd,43182,29.714667, -95.339294,77004,
410,Brays Bayou @ Lawndale Street,43048,29.722625,-95.305332,77023,
420,Brays Bayou @ South Main Street,43049,29.697018,-95.412138,77030,
430,Brays Bayou @ Stella Link Road,43050,29.690953,-95.439914,77025,
435,Willow Water Hole @ Willowbend Boulevard,43051,29.664477,-95.460008,77035,
440,Brays Bayou @ Rice Avenue,43052,29.678605,-95.467271,77096,
445,Willow Water Hole @ Landsdowne Drive,43160,29.65023,-95.4867,77035,
