Variable,Coefficient,P_Value,CI_Lower,CI_Upper,Significant
C(season)[T.Fall],0.17462346958654185,3.6831616554120515e-07,0.10731183310246341,0.2419351060706203,True
rainfall,0.12488735124043082,4.733888700083333e-05,0.06472236029395673,0.18505234218690492,True
rainfall_cum7,0.07358336956510327,6.287510873851146e-10,0.050258186532913605,0.09690855259729292,True
rainfall_lag1,0.061568215264788756,0.03423101991361039,0.0045761892924112285,0.11856024123716628,True
percent_other,0.03717253566026977,4.263229334474834e-136,0.03423829844790141,0.04010677287263813,True
percent_black,0.030077245662222665,2.1742611953315172e-73,0.026824104443776083,0.03333038688066924,True
income_scaled,0.0299656557050591,3.5198265237250996e-87,0.026998147921446353,0.03293316348867185,True
percent_white,0.004338558669079685,0.007872183944266531,0.0011387812666696713,0.007538336071489699,True
C(season)[T.Summer],-0.3742980217570655,3.71001274692193e-23,-0.4483140642255448,-0.3002819792885862,True
C(season)[T.Spring],-0.50744814058318,2.7892117995621995e-52,-0.5728142250889895,-0.4420820560773705,True
