Variable,Coefficient,P_Value,CI_Lower,CI_Upper,Significant
C(year)[T.2022],0.28839504718467246,1.3500537058708854e-14,0.2149962811181277,0.3617938132512172,True
C(year)[T.2024],0.18851772397676356,0.00015607537808771713,0.09080056287255298,0.28623488508097417,True
C(season)[T.Fall],0.07524221967274099,0.04977038894539474,7.54797036038174e-05,0.15040895964187817,True
rainfall_cum7,0.05426031955620483,0.001051129008601025,0.021802149114622076,0.08671848999778758,True
percent_other,0.03504004888597683,1.6267046073604233e-96,0.031745684744691485,0.038334413027262176,True
percent_black,0.030574557185005145,1.16212717602975e-69,0.027177927172762247,0.033971187197248044,True
income_scaled,0.02293395686936531,2.140159027344483e-45,0.019755144456110388,0.026112769282620234,True
percent_white,0.017198742331727808,5.953164554553226e-25,0.013931172012303521,0.020466312651152094,True
population_scaled,0.0022151767227225204,0.005543676830770993,0.0006498324920144825,0.0037805209534305583,True
C(season)[T.Summer],-0.26453035432388455,3.147950698541395e-10,-0.34694083003735904,-0.18211987861041007,True
Intercept,-6.283197694093661,2.4703831385117266e-232,-6.661592846705461,-5.904802541481861,True
